245,AUDI,S Series,RS4 4.2 V8 quattro 420ps Cabriolet,20.3,334
246,AUDI,S Series,S5 4.2 V8 quattro 353ps,23.3,288
247,AUDI,S Series,S5 4.2 V8 quattro 353ps Tiptronic,26.2,256
248,AUDI,S Series,S6 5.2 V10 quattro Tiptronic 435ps Saloon,22.4,299
249,AUDI,S Series,S6 5.2 V10 quattro Tiptronic 435ps Avant,21.1,319
250,AUDI,S Series,RS6 5.0 V10 quattro 580ps Tiptronic Saloon,20.3,331
251,AUDI,S Series,RS6 5.0 V10 quattro 580ps Tiptronic Avant,20.2,333
252,AUDI,S Series,S8 5.2 V10 quattro Tiptronic 450ps,21.4,314
253,AUDI,TT Coupé,2.0 TFSI 200ps,36.7,183
254,AUDI,TT Coupé,2.0 TFSI 200ps S-Tronic,36.7,183
255,AUDI,TT Coupé,3.2 V6 250ps quattro,27.4,247
256,AUDI,TT Coupé,3.2 V6 250ps quattro S-Tronic,30.1,224
257,AUDI,TT Coupé,2.0 CR TDI quattro 170PS with DPF,53.3,139
258,AUDI,TT Coupé,2.0 TFSI quattro 200PS S-Tronic,36.7,181
259,AUDI,TT Roadster,2.0 TFSI 200ps,36.2,186
260,AUDI,TT Roadster,2.0 TFSI 200ps S-Tronic,36.2,186
261,AUDI,TT Roadster,3.2 V6 quattro 250ps,27.2,250
262,AUDI,TT Roadster,3.2 V6 quattro 250ps S-Tronic,29.7,227
263,AUDI,TT Roadster,2.0 CR TDI quattro 170PS with DPF,51.4,144
264,AUDI,TT Roadster,1.8 TFSI 160PS,40.9,161
265,AUDI,TTS Coupé,2.0 TFSI quattro 272PS,35.3,191
266,AUDI,TTS Coupé,2.0 TFSI quattro S tronic 272PS,35.8,188
267,AUDI,TTS Roadster,2.0 TFSI quattro 272PS,34.4,194
268,AUDI,TTS Roadster,2.0 TFSI quattro S tronic 272PS,35.3,190
269,AUDI,Cabriolet,1.8 T 163ps,34.0,197
270,AUDI,Cabriolet,1.8 T 163ps Multitronic,33.2,204
271,AUDI,Cabriolet,2.0 TFSI 200ps,35.3,190
272,AUDI,Cabriolet,2.0 TFSI 200ps Multitronic,34.0,197
273,AUDI,Cabriolet,3.2 V6 FSI quattro 256ps,25.7,262
274,AUDI,Cabriolet,3.2 V6 FSI quattro 256ps Multitronic,29.4,228
275,AUDI,Cabriolet,3.2 V6 FSI quattro 256ps Tiptronic,25.9,259
276,AUDI,Cabriolet,2.0 TDI 140ps with DPF,44.1,172
277,AUDI,Cabriolet,2.0 TDI 140ps Multitronic with DPF,43.5,175
278,AUDI,Cabriolet,3.0 V6 TDI quattro 233ps with DPF,35.8,209
279,AUDI,Cabriolet,3.0 V6 TDI quattro 233ps Tiptronic with DPF,33.6,223
280,AUDI,Q5,2.0 CR TDI quattro 170ps with DPF,42.2,175
281,AUDI,Q5,2.0 CR TDI quattro 170ps S-Tronic with DPF,41.5,179
282,AUDI,Q7,3.6 V6 FSI 280ps quattro Tiptronic,22.2,304
283,AUDI,Q7,4.2 V8 FSI 350ps quattro Tiptronic,21.2,317
284,AUDI,Q7,3.0 V6 TDI quattro 240ps Tiptronic with DPF,31.0,239
285,AUDI,Q7,4.2 V8 TDI 326ps quattro Tiptronic with DPF,25.4,294
286,AUDI,Q7,6.0 V12 TDI quattro 500PS Tiptronic,25.0,298
287,BENTLEY MOTORS,Continental,GT,17.0,396
288,BENTLEY MOTORS,Continental,GT Speed,17.0,396
289,BENTLEY MOTORS,Continental,GTC,17.0,396
290,BENTLEY MOTORS,Continental,Flying Spur,17.0,396
291,BENTLEY MOTORS,Continental,Flying Spur Speed,17.0,396
292,BENTLEY MOTORS,Continental,GTC Speed,17.0,396
293,BENTLEY MOTORS,Azure,Azure,14.5,465
294,BENTLEY MOTORS,Azure,Azure T,14.5,465
295,BENTLEY MOTORS,Brooklands,Coupé,14.5,465
296,BENTLEY MOTORS,Arnage,RL,14.5,465
297,BENTLEY MOTORS,Arnage,T,14.5,465
298,BENTLEY MOTORS,Arnage,R,14.5,465
299,BENTLEY MOTORS,Arnage,Final Series,14.5,465
300,BMW,1 Series E81/E82/E87/E88,135i Coupé - up to February 2010,30.7,220
301,BMW,1 Series E81/E82/E87/E88,135i Coupé - up to February 2010,30.7,221
302,BMW,1 Series E81/E82/E87/E88,135i Convertible - up to February 2010,30.1,224
303,BMW,1 Series E81/E82/E87/E88,135i Convertible - up to February 2010,30.1,225
304,BMW,1 Series E81/E82/E87/E88,116d 3-door - with particle filter,64.2,118
305,BMW,1 Series E81/E82/E87/E88,116d 5-door - with particle filter,64.2,118
306,BMW,3 Series E90/E91/E92/E93,325d Coupé - with particle filter - up to February 2010,49.6,153
307,BMW,3 Series E90/E91/E92/E93,325d Coupé - with particle filter - up to February 2010,45.6,164
308,BMW,3 Series E90/E91/E92/E93,335i Coupé - up to February 2010,31.0,218
309,BMW,3 Series E90/E91/E92/E93,335i Coupé - up to February 2010,32.1,210
310,BMW,3 Series E90/E91/E92/E93,335d Coupé - with particle filter - up to February 2010,42.2,177
311,BMW,3 Series E90/E91/E92/E93,M3 Coupé - up to February 2010,22.8,295
312,BMW,3 Series E90/E91/E92/E93,M3 Coupé - up to February 2010,23.7,285
313,BMW,3 Series E90/E91/E92/E93,325d Convertible - with particle filter - up to February 2010,46.3,162
314,BMW,3 Series E90/E91/E92/E93,325d Convertible - with particle filter - up to February 2010,44.1,170
315,BMW,3 Series E90/E91/E92/E93,335i Convertible - up to February 2010,29.7,226
316,BMW,3 Series E90/E91/E92/E93,335i Convertible - up to February 2010,31.0,217
317,BMW,3 Series E90/E91/E92/E93,M3 Convertible - up to February 2010,21.9,309
318,BMW,3 Series E90/E91/E92/E93,M3 Convertible - up to February 2010,23.0,293
319,BMW,3 Series E90/E91/E92/E93,325d Saloon - with particle filter - up to February 2010,49.6,153
320,BMW,3 Series E90/E91/E92/E93,325d Saloon - with particle filter - up to February 2010,45.6,164
321,BMW,3 Series E90/E91/E92/E93,335i Saloon - up to February 2010,31.0,218
322,BMW,3 Series E90/E91/E92/E93,335i Saloon - up to February 2010,30.7,221
323,BMW,3 Series E90/E91/E92/E93,335d Saloon - with particle filter - up to February 2010,42.2,177
324,BMW,3 Series E90/E91/E92/E93,M3 Saloon - up to February 2010,22.8,295
325,BMW,3 Series E90/E91/E92/E93,M3 Saloon - up to February 2010,23.7,285
